PORO MATRIX,PERMX MATRIX (mD),PORO CRACK,PERMX CRACK (mD),OIL RATE 0 (SM3/DAY),OIL RATE 1 (SM3/DAY),OIL RATE 2 (SM3/DAY),OIL RATE 3 (SM3/DAY),OIL RATE 4 (SM3/DAY),OIL RATE 5 (SM3/DAY),OIL RATE 6 (SM3/DAY),OIL RATE 7 (SM3/DAY),OIL RATE 8 (SM3/DAY),OIL RATE 9 (SM3/DAY),OIL RATE 10 (SM3/DAY),OIL RATE 11 (SM3/DAY),OIL RATE 12 (SM3/DAY),OIL RATE 13 (SM3/DAY),OIL RATE 14 (SM3/DAY),OIL RATE 15 (SM3/DAY),OIL RATE 16 (SM3/DAY),OIL RATE 17 (SM3/DAY),OIL RATE 18 (SM3/DAY),OIL RATE 19 (SM3/DAY),OIL RATE 20 (SM3/DAY),OIL RATE 21 (SM3/DAY),OIL RATE 22 (SM3/DAY),OIL RATE 23 (SM3/DAY),OIL RATE 24 (SM3/DAY),OIL RATE 25 (SM3/DAY),OIL RATE 26 (SM3/DAY),OIL RATE 27 (SM3/DAY),OIL RATE 28 (SM3/DAY),OIL RATE 29 (SM3/DAY),OIL RATE 30 (SM3/DAY),OIL RATE 31 (SM3/DAY),OIL RATE 32 (SM3/DAY),OIL RATE 33 (SM3/DAY),OIL RATE 34 (SM3/DAY),OIL RATE 35 (SM3/DAY),OIL RATE 36 (SM3/DAY),OIL RATE 37 (SM3/DAY),OIL RATE 38 (SM3/DAY),OIL RATE 39 (SM3/DAY),OIL RATE 40 (SM3/DAY),OIL RATE 41 (SM3/DAY),OIL RATE 42 (SM3/DAY),OIL RATE 43 (SM3/DAY),OIL RATE 44 (SM3/DAY),OIL RATE 45 (SM3/DAY),OIL RATE 46 (SM3/DAY),OIL RATE 47 (SM3/DAY),OIL RATE 48 (SM3/DAY),OIL RATE 49 (SM3/DAY),OIL RATE 50 (SM3/DAY),OIL RATE 51 (SM3/DAY),OIL RATE 52 (SM3/DAY),OIL RATE 53 (SM3/DAY),OIL RATE 54 (SM3/DAY),OIL RATE 55 (SM3/DAY),OIL RATE 56 (SM3/DAY),OIL RATE 57 (SM3/DAY),OIL RATE 58 (SM3/DAY),OIL RATE 59 (SM3/DAY),OIL RATE 60 (SM3/DAY)
0.211,2.174,0.014675,1400.375,0,67.43562,131.4994,183.2932,224.563,249.7905,258.4887,261.174,263.5871,265.9992,267.907,268.5312,267.8855,265.9375,262.9629,259.2178,254.8731,250.0419,244.8563,239.3531,233.6085,227.681,221.6767,215.652,209.6112,203.606,197.7255,191.9216,186.2318,180.6707,175.2428,169.9066,164.717,159.7403,154.8632,150.0773,145.4248,140.8378,136.7018,132.0766,127.5372,123.8442,119.9514,115.5576,110.9597,105.4283,101.4633,98.12343,94.82249,91.66117,88.51077,85.5078,82.61002,79.99155,77.52847,74.87337,72.41143,69.99726,67.62505,65.2877,63.00892
0.19225,8.271,0.0104,1483.25,0,64.59608,123.5471,171.1804,209.6795,238.2284,258.3864,273.9048,286.4111,296.4116,303.8384,309.0243,312.5092,314.2306,314.4294,313.3838,311.1853,308.026,304.044,299.2285,293.697,287.4351,280.6167,273.2115,265.1763,256.5969,247.4288,237.42,226.8642,215.6436,203.8998,191.88,179.9569,168.3472,157.3038,146.8538,137.1117,128.0553,119.6591,111.8407,104.5145,97.61621,91.28596,85.43996,80.04247,75.02908,70.41035,66.1145,62.12542,58.60153,55.29876,51.93359,48.90244,46.20414,43.79527,41.34522,38.86421,36.20404,33.51224,31.35427,29.51257
0.21975,6.38275,0.0122,1410.125,0,59.89659,116.4695,163.4962,202.2798,231.0852,250.6133,264.9698,276.8945,286.8888,294.8035,300.7226,304.9185,307.5222,308.8473,308.9276,308.0198,306.2319,303.6245,300.3304,296.4698,292.1253,287.2719,281.9832,276.3008,270.2502,263.8308,257.0121,249.7494,242.1434,234.149,225.7787,217.1028,208.1649,199.1865,190.2527,181.3727,172.7423,164.3272,156.3282,148.6927,141.3527,134.3571,127.709,121.3347,115.6155,109.848,103.8047,98.58825,93.97867,89.31751,84.37846,79.25503,73.43829,69.0687,65.60688,62.29403,58.89056,55.69555,52.56306,49.41299
0.17725,4.995,0.0370625,435.125,0,64.23164,128.6341,179.6088,221.4585,256.1675,285.0209,308.8678,328.1422,342.5824,351.7134,355.7445,355.604,352.5845,347.9345,342.3344,336.2557,329.8375,323.2057,316.4038,309.4448,302.3425,295.1321,287.8344,280.4199,272.9385,265.4271,257.8701,250.2675,242.6467,235.0079,227.4094,219.8471,212.3358,204.8633,197.4975,190.2749,183.1472,176.2038,169.4458,162.8589,156.467,150.3234,144.4094,138.6394,133.1412,127.9134,122.7637,117.5854,113.0379,108.8496,103.991,99.48777,95.12907,91.1988,86.97459,81.89688,75.66498,70.85409,66.96544,63.26744
0.20625,9.2265,0.0343625,1088.375,0,140.0438,227.9327,286.8897,328.323,357.4857,377.6734,390.1082,395.5245,394.8553,390.0262,382.9803,375.1288,367.2244,359.5055,352.1008,345.0291,338.1471,331.4167,324.8073,318.2668,311.7619,305.2709,298.769,292.2179,285.6511,279.0699,272.4189,265.7118,258.9902,252.2117,245.3754,238.5461,231.6965,224.8497,217.9969,211.1343,204.3282,197.6263,190.9972,184.4638,178.0651,171.8228,165.7729,159.9315,153.9502,148.3839,143.3502,137.5451,131.7713,126.1781,120.9377,115.2379,108.47,100.4403,94.15714,88.79877,83.78366,79.06993,74.59715,70.2467
0.217,6.815,0.023225,1132.25,0,94.28894,168.0899,223.3826,266.674,300.2482,324.1315,338.1837,344.245,345.4286,344.2938,342.0294,339.0858,335.6534,331.6906,327.374,322.7226,317.8178,312.6652,307.3006,301.7956,296.1403,290.36,284.4576,278.4189,272.2679,266.0125,259.6398,253.1548,246.5509,239.8155,232.9945,226.1022,219.1297,212.0463,204.9935,197.9546,190.9666,184.0697,177.342,170.774,164.3856,158.1333,151.8867,146.2054,140.8454,134.6677,128.8052,123.6178,118.6336,112.9803,106.5712,99.05594,93.39835,88.79926,84.20646,79.91813,75.65012,71.35034,67.23328,63.46657
0.1755,3.56175,0.01445,1668.5,0,99.46169,178.2473,236.9708,278.1777,298.4422,304.5047,306.571,307.4634,307.0124,305.174,301.9865,297.6887,292.5547,286.7014,280.3317,273.3737,266.0378,258.3853,250.4417,242.265,233.907,225.4406,216.9635,208.4973,200.0973,191.8558,183.81,175.9606,168.4357,161.1882,154.156,147.4528,141.0887,135.0147,129.1454,123.4624,118.0397,113.037,108.2103,102.7994,98.31976,94.29951,89.67963,84.7702,79.57755,74.70547,71.58954,68.18073,64.61886,61.36247,58.19963,55.11611,52.29099,49.65473,47.13173,44.71125,42.3645,40.0657,37.85661,35.76413
0.151,8.4985,0.025925,493.625,0,67.08203,130.3837,180.5165,221.702,255.5553,283.3579,305.884,323.1277,334.8898,341.7155,344.6738,344.9118,343.3415,340.4244,336.4688,331.5906,325.8201,319.2612,311.9501,303.8893,295.1122,285.6655,275.6154,264.9099,253.6118,241.796,229.3874,216.6402,203.5968,190.5743,177.7132,165.3016,153.6466,142.9397,132.7452,123.6059,115.1467,107.2404,100.0075,93.38248,87.32201,81.72055,76.51212,71.53481,66.97917,62.76467,58.89534,55.35934,52.10603,49.11843,46.36567,43.81925,41.44152,39.22262,37.15575,35.18832,33.36264,31.73516,30.15753,28.55603
0.21925,4.47175,0.019175,1112.75,0,71.53198,136.4711,188.3245,230.132,263.0971,285.5531,297.8059,303.6792,306.8618,308.7701,309.8091,309.8423,308.9332,307.1185,304.5792,301.3006,297.5091,293.2579,288.6523,283.734,278.5406,273.0962,267.4105,261.5452,255.5111,249.3401,243.0452,236.647,230.1409,223.5789,216.9852,210.3953,203.8532,197.3392,190.8837,184.5617,178.4091,172.4317,166.5446,160.7793,155.0503,149.9104,144.6896,138.8436,133.6106,129.0822,124.1982,118.7804,112.5677,105.768,101.0799,96.92984,92.84947,88.86469,84.90807,80.83169,76.8967,73.19016,69.6946,66.51144
0.20575,3.78925,0.039425,527.75,0,71.0806,138.8608,191.6432,234.3993,269.487,298.2943,321.8405,340.2292,352.9069,359.5537,360.5389,357.2741,351.3969,344.2326,336.6913,329.1136,321.6581,314.3954,307.2932,300.3649,293.5932,286.9332,280.3946,273.9705,267.6336,261.4124,255.2788,249.2546,243.3182,237.4852,231.766,226.1551,220.6564,215.2879,210.0256,204.8681,199.8318,194.9331,190.1512,185.5006,180.9495,176.4798,172.1417,167.9073,163.4488,159.3357,155.6435,151.0684,146.5337,142.1892,137.9809,133.3596,127.2856,119.7654,114.4007,109.8485,105.5355,101.6471,97.79581,93.84129
